code_module,code_presentation,course_week,active_student_attempts,median_clicks,p75_clicks,mean_active_days
DDD,2013B,3,1073,75.0,125.0,4.16
DDD,2013B,4,932,46.0,87.0,3.68
DDD,2013B,5,911,31.0,62.0,3.24
DDD,2013B,6,904,40.0,76.25,3.49
DDD,2013B,7,959,60.0,98.5,4.07
DDD,2013B,8,798,20.0,44.0,3.13
DDD,2013B,9,804,21.0,45.0,3.13
DDD,2013B,10,828,25.0,51.25,3.25
DDD,2013B,11,880,45.0,74.0,3.99
DDD,2013B,12,761,19.0,41.0,3.18
DDD,2013J,0,1453,44.0,84.0,3.37
DDD,2013J,1,1459,38.0,73.5,3.30
DDD,2013J,2,1376,39.0,80.0,3.29
DDD,2013J,3,1510,54.0,92.0,3.70
DDD,2013J,4,1356,35.0,68.0,3.32
DDD,2013J,5,1290,27.0,57.0,3.12
DDD,2013J,6,1220,33.0,66.0,3.11
DDD,2013J,7,1329,44.0,76.0,3.44
DDD,2013J,8,1103,19.0,40.0,3.07
DDD,2013J,9,1004,15.0,32.0,2.77
DDD,2013J,10,729,10.0,23.0,2.12
DDD,2013J,11,1024,17.0,32.0,2.49
DDD,2013J,12,1240,30.0,52.0,3.32
DDD,2014B,0,922,48.0,93.0,3.44
DDD,2014B,1,917,41.0,75.0,3.36
DDD,2014B,2,903,42.0,81.0,3.42
DDD,2014B,3,944,53.0,99.0,3.82
DDD,2014B,4,840,34.0,67.0,3.42
DDD,2014B,5,760,26.0,54.0,3.16
DDD,2014B,6,754,30.0,56.0,3.16
DDD,2014B,7,834,45.0,74.0,3.53
DDD,2014B,8,712,17.0,37.0,2.98
DDD,2014B,9,697,20.0,40.0,2.94
DDD,2014B,10,735,29.0,51.0,3.24
DDD,2014B,11,610,14.0,32.0,2.64
DDD,2014B,12,602,13.0,29.0,2.76
DDD,2014J,0,1413,46.0,85.0,3.40
DDD,2014J,1,1324,32.0,66.0,3.26
DDD,2014J,2,1383,37.0,67.0,3.49
DDD,2014J,3,1277,25.0,58.0,3.31
DDD,2014J,4,1206,29.0,59.0,3.21
DDD,2014J,5,1306,35.0,61.75,3.42
DDD,2014J,6,1173,21.0,45.0,3.05
DDD,2014J,7,1084,19.0,40.0,2.85
DDD,2014J,8,1210,29.0,52.0,3.24
DDD,2014J,9,922,14.0,32.0,2.71
DDD,2014J,10,657,9.0,19.0,2.14
DDD,2014J,11,701,8.0,21.0,2.10
DDD,2014J,12,971,13.0,30.0,2.59
EEE,2013J,0,805,55.0,123.0,3.13
EEE,2013J,1,798,61.0,140.75,3.15
EEE,2013J,2,832,141.5,192.25,3.62
EEE,2013J,3,765,55.0,105.0,3.38
EEE,2013J,4,846,86.0,126.0,3.99
EEE,2013J,5,761,30.0,67.0,3.11
EEE,2013J,6,750,39.0,78.75,3.33
EEE,2013J,7,733,44.0,82.0,3.44
EEE,2013J,8,732,42.0,77.0,3.42
EEE,2013J,9,775,59.0,95.5,3.76
EEE,2013J,10,597,19.0,44.0,2.62
EEE,2013J,11,382,12.0,28.0,1.94
EEE,2013J,12,475,14.0,38.0,2.04
EEE,2014B,0,522,44.5,102.75,2.96
EEE,2014B,1,508,51.0,107.0,3.07
EEE,2014B,2,539,118.0,167.5,3.42
EEE,2014B,3,499,47.0,86.0,3.23
EEE,2014B,4,545,64.0,102.0,3.59
EEE,2014B,5,480,29.0,54.0,2.87
EEE,2014B,6,444,35.0,69.25,3.14
EEE,2014B,7,444,41.5,79.25,3.39
EEE,2014B,8,454,39.0,72.75,3.30
EEE,2014B,9,471,56.0,92.0,3.70
EEE,2014B,10,358,15.0,34.0,2.28
EEE,2014B,11,336,13.0,29.0,2.09
EEE,2014B,12,331,14.0,34.0,2.12
EEE,2014J,0,912,55.0,114.25,3.18
EEE,2014J,1,898,58.0,117.0,3.18
EEE,2014J,2,932,122.0,170.25,3.52
EEE,2014J,3,853,48.0,83.0,3.18
EEE,2014J,4,936,66.0,104.25,3.69
EEE,2014J,5,826,32.5,59.0,3.14
EEE,2014J,6,817,40.0,79.0,3.40
EEE,2014J,7,794,38.0,71.0,3.32
EEE,2014J,8,793,40.0,73.0,3.26
EEE,2014J,9,852,72.0,112.0,3.63
EEE,2014J,10,639,15.0,37.0,2.58
EEE,2014J,11,456,9.0,24.0,1.96
EEE,2014J,12,455,11.0,28.0,1.96
FFF,2013B,0,1333,93.0,177.0,3.81
FFF,2013B,1,1321,96.0,179.0,3.71
FFF,2013B,2,1397,143.0,238.0,4.36
FFF,2013B,3,1296,99.5,188.0,4.02
FFF,2013B,4,1237,84.0,175.0,3.91
FFF,2013B,5,1224,87.5,161.0,3.81
FFF,2013B,6,1308,118.0,193.0,4.33
FFF,2013B,7,1128,63.5,144.0,3.63
FFF,2013B,8,1045,49.0,119.0,3.19
FFF,2013B,9,1039,50.0,126.0,3.29
FFF,2013B,10,1065,52.0,124.0,3.23
FFF,2013B,11,1073,63.0,140.0,3.38
FFF,2013B,12,1138,111.0,176.0,4.07
FFF,2013J,0,1842,96.0,184.0,3.80
FFF,2013J,1,1812,81.0,168.0,3.64
FFF,2013J,2,1870,120.0,213.75,4.19
FFF,2013J,3,1695,87.0,177.5,3.83
FFF,2013J,4,1682,79.0,166.0,3.82
FFF,2013J,5,1634,78.0,157.0,3.69
FFF,2013J,6,1736,94.0,168.0,4.06
FFF,2013J,7,1508,66.0,142.25,3.60
FFF,2013J,8,1436,43.0,114.0,3.25
FFF,2013J,9,1289,45.0,111.0,3.03
FFF,2013J,10,1158,37.0,107.0,2.88
FFF,2013J,11,917,24.0,67.0,2.18
FFF,2013J,12,1232,42.0,110.25,2.79
FFF,2014B,0,1172,92.0,182.0,3.70
FFF,2014B,1,1138,76.5,160.75,3.49
FFF,2014B,2,1118,94.0,188.0,3.66
FFF,2014B,3,1184,97.0,182.0,3.98
FFF,2014B,4,1078,67.0,152.0,3.71
FFF,2014B,5,1019,56.0,125.5,3.54
FFF,2014B,6,1034,58.0,116.0,3.54
FFF,2014B,7,1102,85.0,161.0,3.78
FFF,2014B,8,896,47.0,115.0,3.23
FFF,2014B,9,846,47.0,118.0,3.15
FFF,2014B,10,836,38.0,100.0,2.86
FFF,2014B,11,876,47.0,110.0,3.10
FFF,2014B,12,958,65.0,125.0,3.49
FFF,2014J,0,1829,102.0,186.0,3.89
FFF,2014J,1,1770,82.0,160.0,3.68
FFF,2014J,2,1790,104.0,198.0,3.82
FFF,2014J,3,1804,100.0,183.0,4.00
FFF,2014J,4,1648,76.0,160.0,3.85
FFF,2014J,5,1587,66.0,135.0,3.69
FFF,2014J,6,1547,76.0,149.0,3.69
FFF,2014J,7,1644,81.5,150.0,3.80
FFF,2014J,8,1414,43.0,122.75,3.37
FFF,2014J,9,1295,50.0,119.5,3.28
FFF,2014J,10,1144,42.0,105.0,2.94
FFF,2014J,11,921,29.0,80.0,2.36
FFF,2014J,12,1205,47.0,110.0,2.91
GGG,2013J,0,538,17.0,35.75,2.01
GGG,2013J,1,521,14.0,29.0,1.97
GGG,2013J,2,460,12.0,25.0,1.80
GGG,2013J,3,419,12.0,22.5,1.79
GGG,2013J,4,408,10.0,23.0,1.65
GGG,2013J,5,374,9.0,20.0,1.54
GGG,2013J,6,409,10.0,19.0,1.61
GGG,2013J,7,376,9.0,18.25,1.63
GGG,2013J,8,505,8.0,20.0,1.81
GGG,2013J,9,372,6.0,14.0,1.69
GGG,2013J,10,199,5.0,12.0,1.34
GGG,2013J,11,275,9.0,20.0,1.63
GGG,2013J,12,519,29.0,57.5,2.11
GGG,2014B,0,528,18.0,41.0,2.18
GGG,2014B,1,491,16.0,30.0,2.04
GGG,2014B,2,401,14.0,27.0,1.97
GGG,2014B,3,384,12.0,22.25,1.80
GGG,2014B,4,372,11.0,24.0,1.79
GGG,2014B,5,328,12.0,28.25,1.69
GGG,2014B,6,355,10.0,23.5,1.63
GGG,2014B,7,366,11.0,26.0,1.78
GGG,2014B,8,459,9.0,26.0,2.00
GGG,2014B,9,415,11.0,27.0,2.00
GGG,2014B,10,415,21.0,44.0,1.92
GGG,2014B,11,350,20.0,42.0,1.88
GGG,2014B,12,352,17.5,42.0,1.93
GGG,2014J,0,468,26.0,54.0,2.49
GGG,2014J,1,467,20.0,42.5,2.24
GGG,2014J,2,399,16.0,32.0,2.04
GGG,2014J,3,375,14.0,32.5,1.90
GGG,2014J,4,382,13.0,26.0,1.79
GGG,2014J,5,343,12.0,25.0,1.76
GGG,2014J,6,331,12.0,26.0,1.85
GGG,2014J,7,322,12.0,26.0,1.78
GGG,2014J,8,430,9.0,20.0,1.92
GGG,2014J,9,356,8.0,21.0,1.85
GGG,2014J,10,335,19.0,45.0,1.84
GGG,2014J,11,144,9.0,28.25,1.49
GGG,2014J,12,197,13.0,36.0,1.56
